path,label,user_id
D:\Work\FIT\KLTN\hand-gestures-KLTN\backend\data\user_samples\3\3\20251229_183557_269971.jpg,3,3
D:\Work\FIT\KLTN\hand-gestures-KLTN\backend\data\user_samples\3\1\20251226_003746_415829.jpg,1,3
D:\Work\FIT\KLTN\hand-gestures-KLTN\backend\data\user_samples\3\1\20251226_003631_067016.jpg,1,3
D:\Work\FIT\KLTN\hand-gestures-KLTN\backend\data\user_samples\3\1\20251226_003631_303147.jpg,1,3
D:\Work\FIT\KLTN\hand-gestures-KLTN\backend\data\user_samples\3\1\20251226_003631_532192.jpg,1,3
D:\Work\FIT\KLTN\hand-gestures-KLTN\backend\data\user_samples\3\1\20251226_003630_604938.jpg,1,3
D:\Work\FIT\KLTN\hand-gestures-KLTN\backend\data\user_samples\3\1\20251226_003630_838215.jpg,1,3
D:\Work\FIT\KLTN\hand-gestures-KLTN\backend\data\user_samples\3\0\20251226_002404_128796.jpg,0,3
D:\Work\FIT\KLTN\hand-gestures-KLTN\backend\data\user_samples\3\0\20251226_002403_193937.jpg,0,3
D:\Work\FIT\KLTN\hand-gestures-KLTN\backend\data\user_samples\3\0\20251226_002403_413173.jpg,0,3
D:\Work\FIT\KLTN\hand-gestures-KLTN\backend\data\user_samples\3\0\20251226_002403_647864.jpg,0,3
D:\Work\FIT\KLTN\hand-gestures-KLTN\backend\data\user_samples\3\0\20251226_002403_887341.jpg,0,3
D:\Work\FIT\KLTN\hand-gestures-KLTN\backend\data\user_samples\3\0\20251226_001234_650703.jpg,0,3
D:\Work\FIT\KLTN\hand-gestures-KLTN\backend\data\user_samples\3\0\20251226_000242_823681.jpg,0,3
D:\Work\FIT\KLTN\hand-gestures-KLTN\backend\data\user_samples\3\0\20251225_235930_777120.jpg,0,3
